id,api_key,question,new_ques,segment,answer,state,label_id,create_time,update_time
471407,f76e46eff9614883accc555388290abb,G228开车时间,G228开车时间,"G228/nx 开车/vi 时间/n","{""questiongroupid"":""b2b54c4c-394c-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470963,f76e46eff9614883accc555388290abb,G244开车时间,G244开车时间,"G244/nx 开车/vi 时间/n","{""questiongroupid"":""9c2b56d2-2fa6-11e7-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470923,f76e46eff9614883accc555388290abb,smartac我想听夜班小夜曲,SMARTAC我想听夜班小夜曲,"smartac/nx 我/rr 想听/v 夜班/n 小夜曲/n","{""questiongroupid"":""100b3858-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470922,f76e46eff9614883accc555388290abb,smartac我想听安和桥,SMARTAC我想听安和桥,"smartac/nx 我/rr 想听/v 安和/ns 桥/n","{""questiongroupid"":""b69ef6cb-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470921,f76e46eff9614883accc555388290abb,smartac我想听宋冬野的斑马斑马,SMARTAC我想听宋冬野的斑马,"smartac/nx 我/rr 想听/v 宋冬野/nr 的/ude1 斑马/n 斑马/n","{""questiongroupid"":""dfcda552-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470919,f76e46eff9614883accc555388290abb,smartac我想听汪苏泷的一笑倾城,SMARTAC我想听汪苏泷的一笑倾城,"smartac/nx 我/rr 想听/v 汪苏/nr 泷/g 的/ude1 一笑倾城/nz","{""questiongroupid"":""25349c57-d231-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470924,f76e46eff9614883accc555388290abb,smartac我想听海阔天空,SMARTAC我想听海阔天空,"smartac/nx 我/rr 想听/v 海阔天空/nz","{""questiongroupid"":""ad3e9283-d22f-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470911,f76e46eff9614883accc555388290abb,smartac我想听王菲的因为爱情,SMARTAC我想听王菲的因为爱情,"smartac/nx 我/rr 想听/v 王菲/nr 的/ude1 因为/c 爱情/n","{""questiongroupid"":""a166032b-d22b-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470920,f76e46eff9614883accc555388290abb,smartac我想听逃跑计划的夜空中最亮的星,SMARTAC我想听逃跑计划的夜空中最亮的星,"smartac/nx 我/rr 想听/v 逃跑/v 计划/n 的/ude1 夜空/n 中/f 最亮/nz 的/ude1 星/n","{""questiongroupid"":""0a00fd9b-d231-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470918,f76e46eff9614883accc555388290abb,smartac我想听那就这样吧,SMARTAC我想听那就这样吧,"smartac/nx 我/rr 想听/v 那/rzv 就/d 这样/rzv 吧/y","{""questiongroupid"":""3d67e333-d231-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470917,f76e46eff9614883accc555388290abb,smartac我想听陈奕迅的因为爱情,SMARTAC我想听陈奕迅的因为爱情,"smartac/nx 我/rr 想听/v 陈奕迅/nr 的/ude1 因为/c 爱情/n","{""questiongroupid"":""549ca49b-d231-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470916,f76e46eff9614883accc555388290abb,smartac我想听陈奕迅的圣诞结,SMARTAC我想听陈奕迅的圣诞结,"smartac/nx 我/rr 想听/v 陈奕迅/nr 的/ude1 圣诞/t 结/v","{""questiongroupid"":""e2077e01-d22f-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470912,f76e46eff9614883accc555388290abb,smartac来首赵雷的成都,SMARTAC来首赵雷的成都,"smartac/nx 来/vf 首/q 赵雷/nr 的/ude1 成都/ns","{""questiongroupid"":""060ddf53-d22d-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470913,f76e46eff9614883accc555388290abb,smartac给我唱首她说,SMARTAC给我唱首她说,"smartac/nx 给/p 我/rr 唱首/nz 她/rr 说/v","{""questiongroupid"":""399f7602-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470915,f76e46eff9614883accc555388290abb,smartac给我唱首朴树的平凡之路,SMARTAC给我唱首朴树的平凡之路,"smartac/nx 给/p 我/rr 唱首/nz 朴树/nz 的/ude1 平凡/a 之路/r","{""questiongroupid"":""8a79bfbf-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470914,f76e46eff9614883accc555388290abb,smartac给我唱首演员,SMARTAC给我唱首演员,"smartac/nx 给/p 我/rr 唱首/nz 演员/nnt","{""questiongroupid"":""60b871ca-d230-11e6-8077-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470814,f76e46eff9614883accc555388290abb,什么时候出生的,什么时候出生的,"什么/ry 时候/n 出生/vi 的/ude1","{""questiongroupid"":""c150c7c7-4e41-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470701,f76e46eff9614883accc555388290abb,你会死掉吗,你会死掉吗,"你会/vn 死掉/nz 吗/y","{""questiongroupid"":""7c454ae9-4e51-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470818,f76e46eff9614883accc555388290abb,你值多少钱,你值价格,"你/rr 值/n 多少/ry 钱/n","{""questiongroupid"":""dcdd82b2-4e42-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470675,f76e46eff9614883accc555388290abb,你喜欢爸爸多还是妈妈多,你喜欢爸爸多还是妈妈多,"你/rr 喜欢/vi 爸爸/n 多/a 还是/c 妈妈/n 多/a","{""questiongroupid"":""f9743085-4e42-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
470674,f76e46eff9614883accc555388290abb,你是谁创造的,你是谁创造的,"你是/v 谁/ry 创造/v 的/ude1","{""questiongroupid"":""ae865410-4e42-11e6-8427-00163e000d54""}",2,0,"2017-05-15 17:19:56","2017-05-15 17:19:56"
